Gernotshagen;Pagan Black Metal
Gernotshagen;Folk Metal
Black Messiah;Symphonic Black Metal
Black Messiah;Folk Metal
Black Messiah;Viking Metal
EÏS;Black Metal
Ignis Fatuu;Mediaval Rock
Mourning Wood;Heavy Metal
Sarkh;Post-Metal
Sarkh;Post-Rock
Thjodrörir;Pagan Metal
Baumbart;Folk Metal
Countless Skies;Melodic Death Metal
Haggard;Progressive Death Metal
Haggard;Classical Metal
Haggard;Orchestral Metal
Haggard;Symphonic Metal
Theotoxin;Death Metal
Theotoxin;Black Metal
Toter Fisch;Melodic Death Metal
Toter Fisch;Folk Metal
Vansind;Folk Metal
Waldgeflüster;Pagan Metal
Horn;Pagan Black Metal
