The Red Chord;USA
Waking the Cadaver;USA
Cephalotripsy;USA
Disentomb;AUS
Disavowed;NLD
Hideous Divinity;ITA
Stillbirth;DEU
Dehumanizing Itatrain Worship;CHN
Guttural Slug;DNK
Gorod;FRA
Putridity;ITA
Korpse;NLD
Inhume;NLD
Distaste;AUT
Teething;ESP
357 Homicide;GBR
Maximize Bestility;DEU
Cenotaph;TUR
Diaroe;DEU
The Voynich Code;PRT
Human Vivisection;BEL
Chordotomy;DEU
Sodomized Cadaver;GBR
Barren;BEL
Devine Defilement;ISL
A Call for Revenge;MEX
Crown the Beast;DNK
Pray for Pain;AUT
Deathawaits;FRA
Putrid Defecation;FIN
Paediatrician;HUN
Infestation;LTU
Unhallowed Deliverance;DEU
